avg_vol_3month,c_level,company_name,e_score,ebitda,employees,enterprise_value,fifty_day_moving_avg,forward_pe,g_score,held_by_insiders,held_by_institutions,hq,industry,market_cap,peg_ratio,profit_margin,return_on_assets,return_on_equity,revenue,s_score,sector,ticker_name,tot_cash,tot_debt,tot_esg_score,trailing_pe,twohundred_day_moving_avg
861.2k,,"10x Genomics, Inc.",,-11.49M,670,9.05B,88.93, ,,4.07%,55.87%,"6230 Stoneridge Mall Road Pleasanton, CA 94588",Health Information Services,9.36B, ,-18.45%,N/A,-22.56%,264.22M,,Healthcare,TXG,372.43M,59.62M,, ,79.70
155.39k,,"111, Inc.",,N/A,"1,932",504.34M,6.61, ,,0.00%,5.57%,No. 295 ZuChongZhi Road 3-5 Floors Pudong New Area,Pharmaceutical Retailers,560.04M, ,-10.38%,-19.24%,-57.58%,N/A,,Healthcare,YI,N/A,N/A,, ,6.74
5.28k,,"1347 Property Insurance Holdings, Inc.",,N/A,2,17.26M,4.5475, ,,9.11%,92.22%,970 Lake Carillon Drive Suite 314,Insurance—Property & Casualty,27.43M, ,0.00%,-3.47%,-9.31%,-3.54M,,Financial Services,PIH,27.67M,N/A,,545.00,4.9256
1.64k,,"1347 Property Insurance Holdings, Inc.",,N/A,2, ,24.99, ,,N/A,N/A,970 Lake Carillon Drive Suite 314,Insurance—Property & Casualty,, ,0.00%,-3.47%,-9.31%,-3.54M,,Financial Services,PIHPP,27.67M,N/A,, ,24.73
88.7k,,180 Degree Capital Corp.,,-4.8M,, ,1.7626, ,,5.23%,34.19%,7 North Willow Street Suite 4B,Asset Management,54.46M, ,"1,665.48%",-3.26%,14.87%,791.3k,,Financial Services,TURN,11.33M,N/A,,4.17,1.7393
841.75k,,"1-800-FLOWERS.COM, Inc.",,87.14M,"4,095",1.34B,22.80,27.03,,30.04%,73.45%,One Old Country Road Suite 500,Specialty Retail,1.41B, ,3.07%,5.20%,11.10%,1.33B,,Consumer Cyclical,FLWS,232.12M,167.42M,,35.90,18.47
3.55k,,"1895 Bancorp of Wisconsin, Inc.",,N/A,108, ,9.58, ,,56.52%,4.08%,"7001 West Edgerton Avenue Greenfield, WI 53220",Banks—Regional,46.88M, ,7.54%,0.25%,2.09%,16.02M,,Financial Services,BCOW,43.7M,55.61M,,36.35,9.57
1.34M,,"1Life Healthcare, Inc.",,-61.73M,"1,700",4.64B,35.40, ,,9.81%,67.36%,One Embarcadero Center Suite 1900,Health Information Services,4.86B, ,-27.31%,N/A,-22.49%,292M,,Healthcare,ONEM,375.43M,159.9M,, ,27.44
17k,,1st Constitution Bancorp,,N/A,221, ,12.41,11.72,,12.06%,39.04%,2650 Route 130 PO Box 634,Banks—Regional,125.07M, ,24.29%,0.92%,8.94%,57.55M,,Financial Services,FCCY,12.58M,143.84M,,8.34,14.85
78.11k,,1st Source Corporation,,N/A,"1,175", ,34.46,12.39,,11.79%,73.06%,"100 North Michigan Street South Bend, IN 46601",Banks—Regional,895.28M, ,27.52%,1.16%,9.53%,295.4M,,Financial Services,SRCE,180.24M,317.54M,,10.47,37.26
1.49M,,"21Vianet Group, Inc.",,N/A,"2,295",3.00B,21.91, ,,1.70%,50.06%,Guanjie Building Southeast 1st Floor 10# Jiuxianqiao East Road Chaoyang District,Information Technology Services,2.50B, ,-8.15%,0.99%,-6.20%,N/A,,Technology,VNET,N/A,N/A,, ,15.72
1.93M,,"2U, Inc.",,-104.29M,"3,749",3.00B,38.42, ,,3.12%,110.09%,"7900 Harkins Road Lanham, MD 20706",Education & Training Services,2.81B, ,-43.60%,-11.48%,-40.53%,627.92M,,Consumer Defensive,TWOU,138.2M,325.97M,, ,28.13
1.2M,,"360 Finance, Inc.",,N/A,"1,891", ,12.49, ,,15.87%,34.32%,"Building B China Diamond Exchange Center No. 1701 Century Avenue No. 555 Pudian Road, Pudong New Area",Credit Services,2.22B, ,18.91%,8.32%,34.90%,N/A,,Financial Services,QFIN,N/A,N/A,,8.11,9.50
64.26k,,36Kr Holdings Inc.,,N/A,525,118.22M,4.0854,7.00,,0.40%,0.00%,"Tower A1, Junhao Central Park Plaza 5-6 Floors No. 10 South Chaoyang Park Avenue Chaoyang District",Internet Content & Information,136.10M, ,-128.07%,-10.34%,-184.61%,N/A,,Communication Services,KRKR,N/A,N/A,, ,4.8641
200.86k,,"51job, Inc.",,N/A,"8,180",2.95B,69.34, ,,57.21%,53.10%,"Building 3 No. 1387, Zhang Dong Road",Staffing & Employment Services,4.54B, ,21.20%,4.92%,8.42%,N/A,,Industrials,JOBS,N/A,N/A,,38.33,70.10
